Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sottimano,Barbaresco Basarin,4.0,100-124,17,7,4,sv,4,4,sv,sv,sv,sv,sv,sv
Tenuta Carretta,Barbaresco Riserva Cascina Bordino,3.0,45-49,6,6,sv,sv,sv,3,3,3,sv,sv,sv,sv
Tenuta Carretta,Barbaresco Garassino,2.3,25-29,3,6,sv,2,3,2,sv,sv,sv,sv,sv,sv
Tenuta Carretta,Barbaresco Bordino,3.0,25-29,2,3,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Ugo Lequio,Barbaresco Gallina Riserva,3.0,45-49,4,4,sv,sv,3,sv,sv,sv,sv,3,sv,sv
Ugo Lequio,Barbaresco Gallina,3.4,35-39,17,22,sv,3,4,4,3,3,sv,sv,sv,sv
Vietti,Barbaresco Masseria,3.0,70-74,9,6,sv,sv,3,3,3,3,3,sv,sv,sv
Vite Colte,Barbaresco Riserva Spezie,4.0,40-44,11,13,sv,sv,sv,sv,sv,sv,4,sv,4,sv
Vite Colte,Barbaresco La Casa In Collina,2.0,20-24,3,6,sv,2,2,2,sv,2,sv,sv,sv,sv
Walter Lodali,Barbaresco Lorens,3.0,40-44,4,4,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Walter Lodali,Barbaresco Rocche Dei Sette Fratelli,3.0,20-24,4,8,3,3,sv,sv,sv,sv,sv,sv,sv,sv
